Roll_No,Gender,Race_Ethnicity,Parental_Level_Of_Education,Lunch,Test_Preparation_Course,Math Score,Reading Score,Writing Score,Science Score,Total Score,Grade _,Eligibility,Percentage,Rank ,,Subject,Centum Count
Std-3844,Male,Group C,Associate'S Degree,1,0,28,89,80,49,246,C,Eligible,61.5,6814,,,
Std-3843,Male,Group A,Some College,1,0,71,100,68,46,285,B,Eligible,71.25,3320,,,
Std-3842,Male,Group C,Master'S Degree,0,1,24,78,52,51,205,C,Eligible,51.25,9077,,,
Std-3841,Male,Group D,Master'S Degree,0,0,47,62,43,84,236,C,Eligible,59,7557,,,
Std-3840,Male,Group B,High School,1,0,18,75,68,81,242,C,Eligible,60.5,7111,,,
Std-384,Male,Group E,Master'S Degree,1,0,72,88,72,43,275,B,Eligible,68.75,4259,,,
Std-3839,Male,Group C,Some College,1,1,75,71,58,61,265,B,Eligible,66.25,5197,,,
Std-3838,Male,Group E,Some College,1,0,8,56,100,64,228,C,Eligible,57,8042,,,
Std-3837,Male,Group B,Some College,0,0,83,79,28,40,230,C,Eligible,57.5,7929,,,
Std-3836,Male,Group B,Some College,1,1,48,90,40,73,251,B,Eligible,62.75,6404,,,
Std-3835,Male,Group D,Associate'S Degree,1,0,19,67,65,41,192,D,Not Eligible,48,9441,,,
Std-3834,Male,Group D,High School,0,0,21,53,54,74,202,C,Eligible,50.5,9190,,,
Std-3833,Male,Group C,High School,1,0,63,96,59,43,261,B,Eligible,65.25,5557,,,
Std-3832,Male,Group D,Associate'S Degree,0,1,20,49,84,44,197,D,Not Eligible,49.25,9317,,,
Std-3831,Male,Group E,Some High School,0,0,58,52,45,35,190,D,Not Eligible,47.5,9485,,,
Std-3830,Male,Group D,Some High School,1,1,32,82,54,87,255,B,Eligible,63.75,6070,,,
Std-383,Male,Group B,Some High School,1,0,23,96,67,38,224,C,Eligible,56,8276,,,
Std-3829,Male,Group D,High School,1,0,51,89,60,72,272,B,Eligible,68,4563,,,
Std-3828,Male,Group D,Some College,1,0,29,99,61,43,232,C,Eligible,58,7813,,,
Std-3827,Male,Group E,Some College,0,0,54,64,75,63,256,B,Eligible,64,5987,,,
Std-3826,Male,Group D,Some College,1,0,51,100,87,100,338,A,Eligible,84.5,295,,,
Std-3825,Male,Group D,Associate'S Degree,1,0,22,72,66,74,234,C,Eligible,58.5,7684,,,
Std-3824,Male,Group B,Some High School,1,1,66,61,92,36,255,B,Eligible,63.75,6070,,,
Std-3823,Male,Group D,Associate'S Degree,1,1,79,56,74,77,286,B,Eligible,71.5,3238,,,
Std-3822,Male,Group E,Some High School,1,0,14,71,59,69,213,C,Eligible,53.25,8813,,,
Std-3821,Male,Group D,Some College,0,1,55,52,66,69,242,C,Eligible,60.5,7111,,,
Std-3820,Male,Group C,Associate'S Degree,0,1,57,34,52,51,194,D,Not Eligible,48.5,9395,,,
Std-382,Male,Group D,High School,0,1,67,49,38,58,212,C,Eligible,53,8855,,,
Std-3819,Male,Group D,High School,1,1,28,100,87,90,305,B,Eligible,76.25,1658,,,
Std-3818,Male,Group D,Associate'S Degree,1,1,54,100,100,74,328,A,Eligible,82,563,,,
Std-3817,Male,Group D,Some High School,1,0,62,79,35,28,204,C,Eligible,51,9108,,,
Std-3816,Male,Group E,Master'S Degree,0,0,28,73,67,75,243,C,Eligible,60.75,7042,,,
Std-3815,Male,Group A,Some College,1,1,57,43,63,34,197,D,Not Eligible,49.25,9317,,,
Std-3814,Male,Group D,High School,1,1,34,100,67,81,282,B,Eligible,70.5,3602,,,
Std-3813,Male,Group D,Master'S Degree,1,1,63,90,62,88,303,B,Eligible,75.75,1795,,,
Std-3812,Male,Group B,High School,1,1,50,75,74,59,258,B,Eligible,64.5,5822,,,
Std-3811,Male,Group B,Some College,1,0,54,74,71,72,271,B,Eligible,67.75,4646,,,
Std-3810,Male,Group E,Bachelor'S Degree,1,0,41,98,63,61,263,B,Eligible,65.75,5373,,,
Std-381,Male,Group C,High School,1,0,51,42,70,27,190,D,Not Eligible,47.5,9485,,,
Std-3809,Male,Group B,Some High School,0,1,20,73,46,44,183,D,Not Eligible,45.75,9632,,,
Std-3808,Male,Group D,Master'S Degree,0,1,19,61,78,51,209,C,Eligible,52.25,8948,,,
Std-3807,Male,Group D,Associate'S Degree,1,1,88,50,66,76,280,B,Eligible,70,3790,,,
Std-3806,Male,Group B,Associate'S Degree,1,0,34,97,65,100,296,B,Eligible,74,2337,,,
Std-3805,Male,Group C,Some College,1,1,61,94,51,51,257,B,Eligible,64.25,5905,,,
Std-3804,Male,Group B,Bachelor'S Degree,0,0,22,66,42,46,176,D,Not Eligible,44,9754,,,
Std-3803,Male,Group D,Associate'S Degree,0,0,70,95,76,90,331,A,Eligible,82.75,466,,,
Std-3802,Male,Group E,Some High School,0,0,42,83,92,70,287,B,Eligible,71.75,3143,,,
Std-3801,Male,Group A,Some High School,1,1,60,98,65,54,277,B,Eligible,69.25,4080,,,
Std-3800,Male,Group C,Associate'S Degree,0,0,62,81,63,80,286,B,Eligible,71.5,3238,,,
Std-380,Male,Group D,Bachelor'S Degree,0,1,70,100,78,89,337,A,Eligible,84.25,312,,,
Std-38,Male,Group C,Associate'S Degree,1,1,36,70,57,93,256,B,Eligible,64,5987,,,
Std-3799,Male,Group B,Some College,1,0,52,60,81,55,248,C,Eligible,62,6641,,,
Std-3798,Male,Group C,Some High School,1,0,93,82,71,75,321,A,Eligible,80.25,805,,,
Std-3797,Male,Group C,Associate'S Degree,1,0,32,58,73,32,195,D,Not Eligible,48.75,9363,,,
Std-3796,Male,Group E,Some High School,1,0,80,73,47,100,300,B,Eligible,75,2035,,,
Std-3795,Male,Group B,Some College,1,1,28,100,64,100,292,B,Eligible,73,2692,,,
Std-3794,Male,Group C,High School,1,0,99,41,89,81,310,B,Eligible,77.5,1359,,,
Std-3793,Male,Group E,Associate'S Degree,0,1,33,42,47,36,158,D,Not Eligible,39.5,9906,,,
Std-3792,Male,Group A,Some High School,0,0,22,53,62,61,198,D,Not Eligible,49.5,9296,,,
Std-3791,Male,Group E,High School,0,0,62,100,51,81,294,B,Eligible,73.5,2500,,,
Std-3790,Male,Group B,Some High School,1,1,67,84,56,78,285,B,Eligible,71.25,3320,,,
Std-379,Male,Group A,Some College,1,0,60,63,95,53,271,B,Eligible,67.75,4646,,,
Std-3789,Male,Group B,Master'S Degree,1,0,68,73,94,66,301,B,Eligible,75.25,1956,,,
Std-3788,Male,Group C,Associate'S Degree,1,0,28,70,89,58,245,C,Eligible,61.25,6889,,,
Std-3787,Male,Group D,Bachelor'S Degree,1,0,37,52,62,64,215,C,Eligible,53.75,8725,,,
Std-3786,Male,Group D,High School,1,0,53,71,59,39,222,C,Eligible,55.5,8375,,,
Std-3785,Male,Group E,High School,0,1,34,36,63,100,233,C,Eligible,58.25,7738,,,
Std-3784,Male,Group C,Some High School,0,0,41,62,66,48,217,C,Eligible,54.25,8620,,,
Std-3783,Male,Group C,Some College,1,0,80,87,69,30,266,B,Eligible,66.5,5101,,,
Std-3782,Male,Group E,High School,1,1,45,34,38,81,198,D,Not Eligible,49.5,9296,,,
Std-3781,Male,Group E,Some College,1,1,77,86,100,83,346,A,Eligible,86.5,154,,,
Std-3780,Male,Group C,Some College,0,1,55,84,97,72,308,B,Eligible,77,1474,,,
Std-378,Male,Group E,Some High School,1,1,43,82,85,35,245,C,Eligible,61.25,6889,,,
Std-3779,Male,Group A,Bachelor'S Degree,0,1,58,77,100,97,332,A,Eligible,83,440,,,
Std-3778,Male,Group E,Some High School,1,0,39,100,80,58,277,B,Eligible,69.25,4080,,,
Std-3777,Male,Group D,High School,1,1,0,61,78,63,202,C,Eligible,50.5,9190,,,
Std-3776,Male,Group C,High School,1,1,18,67,58,37,180,D,Not Eligible,45,9701,,,
Std-3775,Male,Group D,Associate'S Degree,1,1,51,54,100,64,269,B,Eligible,67.25,4839,,,
Std-3774,Male,Group C,Some College,1,0,40,88,51,59,238,C,Eligible,59.5,7419,,,
Std-3773,Male,Group C,Master'S Degree,0,0,9,74,55,42,180,D,Not Eligible,45,9701,,,
Std-3772,Male,Group B,Associate'S Degree,1,0,70,57,58,100,285,B,Eligible,71.25,3320,,,
Std-3771,Male,Group C,Some College,0,0,34,91,49,62,236,C,Eligible,59,7557,,,
Std-3770,Male,Group B,Some High School,1,0,8,78,37,61,184,D,Not Eligible,46,9615,,,
Std-377,Male,Group C,Some High School,1,1,6,60,79,38,183,D,Not Eligible,45.75,9632,,,
Std-3769,Male,Group D,Some High School,1,1,10,100,62,60,232,C,Eligible,58,7813,,,
Std-3768,Male,Group B,Some College,1,1,43,86,66,80,275,B,Eligible,68.75,4259,,,
Std-3767,Male,Group D,Some College,1,0,89,69,76,65,299,B,Eligible,74.75,2119,,,
Std-3766,Male,Group C,Some College,0,0,39,92,36,59,226,C,Eligible,56.5,8156,,,
Std-3765,Male,Group E,Some High School,0,0,74,72,55,36,237,C,Eligible,59.25,7503,,,
Std-3764,Male,Group A,Some College,1,0,81,70,81,59,291,B,Eligible,72.75,2781,,,
Std-3763,Male,Group B,Some College,1,0,37,85,62,69,253,B,Eligible,63.25,6243,,,
Std-3762,Male,Group A,Some High School,0,1,44,80,97,63,284,B,Eligible,71,3422,,,
Std-3761,Male,Group B,Master'S Degree,1,1,86,50,49,52,237,C,Eligible,59.25,7503,,,
Std-3760,Male,Group D,Master'S Degree,0,0,51,86,67,75,279,B,Eligible,69.75,3892,,,
Std-376,Male,Group D,Associate'S Degree,0,1,25,88,91,89,293,B,Eligible,73.25,2602,,,
Std-3759,Male,Group B,Associate'S Degree,1,0,83,67,59,100,309,B,Eligible,77.25,1419,,,
Std-3758,Male,Group E,Some High School,1,1,35,82,25,52,194,D,Not Eligible,48.5,9395,,,
Std-3757,Male,Group D,Some College,1,1,59,68,73,81,281,B,Eligible,70.25,3684,,,
Std-3756,Male,Group C,Bachelor'S Degree,0,1,23,61,90,83,257,B,Eligible,64.25,5905,,,
Std-3755,Male,Group D,Some College,1,1,5,52,96,54,207,C,Eligible,51.75,9008,,,
Std-3754,Male,Group C,High School,1,0,35,72,56,66,229,C,Eligible,57.25,7986,,,
Std-3753,Male,Group D,Some High School,1,1,66,82,45,54,247,C,Eligible,61.75,6731,,,
Std-3752,Male,Group D,Some College,0,0,71,71,43,39,224,C,Eligible,56,8276,,,
Std-3751,Male,Group C,Master'S Degree,0,0,76,79,47,91,293,B,Eligible,73.25,2602,,,
Std-3750,Male,Group C,Some College,1,0,48,83,84,98,313,B,Eligible,78.25,1192,,,
Std-375,Male,Group C,Associate'S Degree,0,1,59,65,51,58,233,C,Eligible,58.25,7738,,,
Std-3749,Male,Group E,Some College,1,0,77,60,75,68,280,B,Eligible,70,3790,,,
Std-3748,Male,Group B,Bachelor'S Degree,1,0,16,23,58,73,170,D,Not Eligible,42.5,9814,,,
Std-3747,Male,Group D,Bachelor'S Degree,0,1,47,52,85,85,269,B,Eligible,67.25,4839,,,
Std-3746,Male,Group E,Some College,0,1,10,43,67,47,167,D,Not Eligible,41.75,9851,,,
Std-3745,Male,Group D,Associate'S Degree,0,0,29,17,75,98,219,C,Eligible,54.75,8530,,,
Std-3744,Male,Group B,Some College,0,1,100,47,82,63,292,B,Eligible,73,2692,,,
Std-3743,Male,Group C,Bachelor'S Degree,0,0,80,100,72,89,341,A,Eligible,85.25,235,,,
Std-3742,Male,Group B,Bachelor'S Degree,1,1,42,99,78,84,303,B,Eligible,75.75,1795,,,
Std-3741,Male,Group B,Bachelor'S Degree,1,0,78,69,81,73,301,B,Eligible,75.25,1956,,,
Std-3740,Male,Group B,Some College,1,0,22,62,78,93,255,B,Eligible,63.75,6070,,,
Std-374,Male,Group C,Some College,1,0,36,43,26,45,150,D,Not Eligible,37.5,9936,,,
Std-3739,Male,Group B,High School,1,0,54,55,84,86,279,B,Eligible,69.75,3892,,,
Std-3738,Male,Group D,Some College,1,0,61,53,76,49,239,C,Eligible,59.75,7336,,,
Std-3737,Male,Group D,Some College,0,0,64,100,99,73,336,A,Eligible,84,333,,,
Std-3736,Male,Group B,High School,1,1,49,88,60,48,245,C,Eligible,61.25,6889,,,
Std-3735,Male,Group B,Some College,1,1,35,68,51,66,220,C,Eligible,55,8487,,,
Std-3734,Male,Group B,Associate'S Degree,0,0,12,75,64,19,170,D,Not Eligible,42.5,9814,,,
Std-3733,Male,Group C,Associate'S Degree,0,1,61,85,64,91,301,B,Eligible,75.25,1956,,,
Std-3732,Male,Group D,Some College,1,0,50,99,80,93,322,A,Eligible,80.5,754,,,
Std-3731,Male,Group E,Master'S Degree,1,1,37,74,61,66,238,C,Eligible,59.5,7419,,,
Std-3730,Male,Group A,Some College,0,1,40,95,92,73,300,B,Eligible,75,2035,,,
Std-373,Male,Group C,High School,1,0,59,34,93,46,232,C,Eligible,58,7813,,,
Std-3729,Male,Group E,High School,0,0,71,69,80,95,315,B,Eligible,78.75,1079,,,
Std-3728,Male,Group B,Some College,0,0,51,67,70,81,269,B,Eligible,67.25,4839,,,
Std-3727,Male,Group B,Some College,1,0,75,67,68,58,268,B,Eligible,67,4934,,,
Std-3726,Male,Group C,Some College,1,1,55,68,86,83,292,B,Eligible,73,2692,,,
Std-3725,Male,Group B,High School,0,0,20,81,95,43,239,C,Eligible,59.75,7336,,,
Std-3724,Male,Group B,Some College,0,1,45,31,65,95,236,C,Eligible,59,7557,,,
Std-3723,Male,Group E,Associate'S Degree,1,0,26,81,77,73,257,B,Eligible,64.25,5905,,,
Std-3722,Male,Group B,Some High School,1,1,13,84,39,46,182,D,Not Eligible,45.5,9654,,,
Std-3721,Male,Group D,Associate'S Degree,0,0,15,100,90,88,293,B,Eligible,73.25,2602,,,
Std-3720,Male,Group E,Some High School,1,0,15,56,70,58,199,D,Not Eligible,49.75,9268,,,
Std-372,Male,Group D,High School,0,1,71,97,86,83,337,A,Eligible,84.25,312,,,
Std-3719,Male,Group D,Some High School,1,0,83,80,96,89,348,A,Eligible,87,122,,,
Std-3718,Male,Group C,Associate'S Degree,0,0,54,53,57,61,225,C,Eligible,56.25,8211,,,
Std-3717,Male,Group B,Some High School,0,0,74,67,48,99,288,B,Eligible,72,3038,,,
Std-3716,Male,Group B,High School,1,1,74,86,100,56,316,B,Eligible,79,1032,,,
Std-3715,Male,Group B,High School,1,0,17,90,100,77,284,B,Eligible,71,3422,,,
Std-3714,Male,Group B,Some High School,0,0,43,89,85,76,293,B,Eligible,73.25,2602,,,
Std-3713,Male,Group C,Master'S Degree,1,1,50,48,73,57,228,C,Eligible,57,8042,,,
Std-3712,Male,Group E,Some High School,1,1,99,63,42,87,291,B,Eligible,72.75,2781,,,
Std-3711,Male,Group D,Master'S Degree,1,0,69,76,31,88,264,B,Eligible,66,5291,,,
Std-3710,Male,Group C,Associate'S Degree,0,1,83,96,92,69,340,A,Eligible,85,255,,,
Std-371,Male,Group B,Master'S Degree,0,0,24,54,55,83,216,C,Eligible,54,8679,,,
Std-3709,Male,Group B,Some High School,0,0,62,78,54,80,274,B,Eligible,68.5,4358,,,
Std-3708,Male,Group B,Master'S Degree,1,1,65,70,68,70,273,B,Eligible,68.25,4466,,,
Std-3707,Male,Group C,Associate'S Degree,0,0,14,86,42,85,227,C,Eligible,56.75,8092,,,
Std-3706,Male,Group D,Some College,1,0,37,64,41,98,240,C,Eligible,60,7273,,,
Std-3705,Male,Group B,Associate'S Degree,0,0,35,67,19,60,181,D,Not Eligible,45.25,9679,,,
Std-3704,Male,Group E,Some College,0,0,49,58,59,41,207,C,Eligible,51.75,9008,,,
Std-3703,Male,Group E,Bachelor'S Degree,1,1,52,98,18,74,242,C,Eligible,60.5,7111,,,
Std-3702,Male,Group E,Some High School,1,0,0,45,63,50,158,D,Not Eligible,39.5,9906,,,
Std-3701,Male,Group C,High School,1,0,41,54,57,51,203,C,Eligible,50.75,9153,,,
Std-3700,Male,Group A,Some College,0,0,28,75,95,67,265,B,Eligible,66.25,5197,,,
Std-370,Male,Group B,Bachelor'S Degree,1,0,87,78,100,47,312,B,Eligible,78,1247,,,
Std-37,Male,Group C,Some High School,1,0,78,82,52,71,283,B,Eligible,70.75,3512,,,
Std-3699,Male,Group E,Bachelor'S Degree,0,1,64,69,61,100,294,B,Eligible,73.5,2500,,,
Std-3698,Male,Group A,Associate'S Degree,1,0,49,64,71,68,252,B,Eligible,63,6320,,,
Std-3697,Male,Group B,Associate'S Degree,1,1,68,100,81,71,320,A,Eligible,80,850,,,
Std-3696,Male,Group D,Some College,1,1,61,100,61,87,309,B,Eligible,77.25,1419,,,
Std-3695,Male,Group B,High School,0,1,44,17,55,58,174,D,Not Eligible,43.5,9774,,,
Std-3694,Male,Group A,Some High School,1,1,20,95,89,31,235,C,Eligible,58.75,7627,,,
Std-3693,Male,Group D,Some College,1,0,91,91,43,33,258,B,Eligible,64.5,5822,,,
Std-3692,Male,Group C,Some College,1,1,44,92,76,34,246,C,Eligible,61.5,6814,,,
Std-3691,Male,Group B,Some College,1,0,32,83,72,67,254,B,Eligible,63.5,6155,,,
Std-3690,Male,Group A,Some College,1,1,45,93,58,61,257,B,Eligible,64.25,5905,,,
Std-369,Male,Group C,Some College,0,1,31,26,76,54,187,D,Not Eligible,46.75,9555,,,
Std-3689,Male,Group D,Some College,1,1,60,100,96,64,320,A,Eligible,80,850,,,
Std-3688,Male,Group A,High School,0,0,31,72,81,56,240,C,Eligible,60,7273,,,
Std-3687,Male,Group E,Associate'S Degree,1,1,31,64,41,95,231,C,Eligible,57.75,7883,,,
Std-3686,Male,Group B,Associate'S Degree,0,1,30,97,62,56,245,C,Eligible,61.25,6889,,,
Std-3685,Male,Group C,Master'S Degree,1,1,79,52,47,59,237,C,Eligible,59.25,7503,,,
Std-3684,Male,Group A,Bachelor'S Degree,1,0,76,98,63,51,288,B,Eligible,72,3038,,,
Std-3683,Male,Group D,Master'S Degree,1,0,47,71,73,48,239,C,Eligible,59.75,7336,,,
Std-3682,Male,Group C,High School,1,0,77,56,70,78,281,B,Eligible,70.25,3684,,,
Std-3681,Male,Group E,Some High School,0,0,100,17,42,78,237,C,Eligible,59.25,7503,,,
Std-3680,Male,Group B,Master'S Degree,1,0,38,39,74,88,239,C,Eligible,59.75,7336,,,
Std-368,Male,Group D,Some High School,1,1,70,84,96,81,331,A,Eligible,82.75,466,,,
Std-3679,Male,Group C,High School,1,0,76,85,73,38,272,B,Eligible,68,4563,,,
Std-3678,Male,Group C,Some College,0,0,33,62,54,86,235,C,Eligible,58.75,7627,,,
Std-3677,Male,Group E,Associate'S Degree,1,0,56,93,85,30,264,B,Eligible,66,5291,,,
Std-3676,Male,Group A,Associate'S Degree,1,0,23,75,86,55,239,C,Eligible,59.75,7336,,,
Std-3675,Male,Group D,Bachelor'S Degree,1,0,49,69,69,70,257,B,Eligible,64.25,5905,,,
Std-3674,Male,Group E,Associate'S Degree,0,1,15,78,91,54,238,C,Eligible,59.5,7419,,,
Std-3673,Male,Group A,Associate'S Degree,1,0,50,88,100,90,328,A,Eligible,82,563,,,
Std-3672,Male,Group E,Some High School,0,0,55,72,92,46,265,B,Eligible,66.25,5197,,,
Std-3671,Male,Group C,Some High School,1,0,16,66,84,70,236,C,Eligible,59,7557,,,
Std-3670,Male,Group C,Master'S Degree,1,0,59,84,55,83,281,B,Eligible,70.25,3684,,,
Std-367,Male,Group D,Associate'S Degree,1,0,46,31,69,49,195,D,Not Eligible,48.75,9363,,,
Std-3669,Male,Group B,Some College,0,0,40,64,49,80,233,C,Eligible,58.25,7738,,,
Std-3668,Male,Group E,Some College,1,0,36,75,88,84,283,B,Eligible,70.75,3512,,,
Std-3667,Male,Group A,Bachelor'S Degree,1,1,56,100,75,70,301,B,Eligible,75.25,1956,,,
Std-3666,Male,Group C,Bachelor'S Degree,0,0,70,47,84,32,233,C,Eligible,58.25,7738,,,
Std-3665,Male,Group E,Some College,1,1,25,100,80,68,273,B,Eligible,68.25,4466,,,
Std-3664,Male,Group E,Master'S Degree,0,0,85,69,60,52,266,B,Eligible,66.5,5101,,,
Std-3663,Male,Group E,Some High School,1,0,83,75,73,51,282,B,Eligible,70.5,3602,,,
Std-3662,Male,Group A,Bachelor'S Degree,0,0,7,67,57,20,151,D,Not Eligible,37.75,9931,,,
Std-3661,Male,Group B,Some College,0,1,69,87,44,61,261,B,Eligible,65.25,5557,,,
Std-3660,Male,Group C,Some College,1,0,60,100,67,60,287,B,Eligible,71.75,3143,,,
Std-366,Male,Group C,Some College,1,1,94,63,72,97,326,A,Eligible,81.5,619,,,
Std-3659,Male,Group B,Some College,1,0,93,55,80,42,270,B,Eligible,67.5,4738,,,
Std-3658,Male,Group B,Associate'S Degree,1,0,38,32,52,71,193,D,Not Eligible,48.25,9423,,,
Std-3657,Male,Group B,Some High School,0,0,53,59,47,26,185,D,Not Eligible,46.25,9599,,,
Std-3656,Male,Group D,Some High School,1,0,49,61,81,44,235,C,Eligible,58.75,7627,,,
Std-3655,Male,Group B,Some College,1,1,53,50,89,87,279,B,Eligible,69.75,3892,,,
Std-3654,Male,Group A,Some College,0,0,28,59,36,48,171,D,Not Eligible,42.75,9805,,,
Std-3653,Male,Group B,High School,1,0,46,69,76,75,266,B,Eligible,66.5,5101,,,
Std-3652,Male,Group D,Some High School,1,1,16,43,66,41,166,D,Not Eligible,41.5,9857,,,
Std-3651,Male,Group B,Bachelor'S Degree,0,0,52,80,67,86,285,B,Eligible,71.25,3320,,,
Std-3650,Male,Group E,Bachelor'S Degree,0,0,61,74,45,9,189,D,Not Eligible,47.25,9512,,,
Std-365,Male,Group B,Associate'S Degree,1,1,47,60,100,76,283,B,Eligible,70.75,3512,,,
Std-3649,Male,Group E,High School,0,1,79,80,91,81,331,A,Eligible,82.75,466,,,
Std-3648,Male,Group D,Some College,0,0,47,93,79,71,290,B,Eligible,72.5,2860,,,
Std-3647,Male,Group B,Associate'S Degree,1,0,71,52,78,82,283,B,Eligible,70.75,3512,,,
Std-3646,Male,Group D,Some High School,1,1,79,76,74,45,274,B,Eligible,68.5,4358,,,
Std-3645,Male,Group E,Bachelor'S Degree,0,0,57,75,56,29,217,C,Eligible,54.25,8620,,,
Std-3644,Male,Group D,High School,0,1,94,79,41,73,287,B,Eligible,71.75,3143,,,
Std-3643,Male,Group C,Bachelor'S Degree,0,0,48,75,93,79,295,B,Eligible,73.75,2414,,,
Std-3642,Male,Group C,Some High School,1,0,63,55,67,95,280,B,Eligible,70,3790,,,
Std-3641,Male,Group D,High School,1,1,99,73,69,100,341,A,Eligible,85.25,235,,,
Std-3640,Male,Group C,Associate'S Degree,1,0,73,66,44,63,246,C,Eligible,61.5,6814,,,
Std-364,Male,Group B,Bachelor'S Degree,1,0,57,73,87,91,308,B,Eligible,77,1474,,,
Std-3639,Male,Group D,High School,1,0,33,49,33,55,170,D,Not Eligible,42.5,9814,,,
Std-3638,Male,Group C,Associate'S Degree,1,0,58,67,93,79,297,B,Eligible,74.25,2266,,,
Std-3637,Male,Group E,High School,1,0,61,100,100,46,307,B,Eligible,76.75,1541,,,
Std-3636,Male,Group E,Bachelor'S Degree,0,0,46,90,54,80,270,B,Eligible,67.5,4738,,,
Std-3635,Male,Group D,Master'S Degree,0,0,24,76,54,13,167,D,Not Eligible,41.75,9851,,,
Std-3634,Male,Group C,Some College,1,1,42,59,88,54,243,C,Eligible,60.75,7042,,,
Std-3633,Male,Group C,Associate'S Degree,1,0,34,90,100,50,274,B,Eligible,68.5,4358,,,
Std-3632,Male,Group B,Bachelor'S Degree,0,0,80,71,16,76,243,C,Eligible,60.75,7042,,,
Std-3631,Male,Group C,Some College,1,0,68,63,73,100,304,B,Eligible,76,1729,,,
Std-3630,Male,Group C,Bachelor'S Degree,1,0,32,42,83,41,198,D,Not Eligible,49.5,9296,,,
Std-363,Male,Group D,Bachelor'S Degree,1,1,17,81,52,90,240,C,Eligible,60,7273,,,
Std-3629,Male,Group B,Associate'S Degree,0,1,46,25,59,56,186,D,Not Eligible,46.5,9583,,,
Std-3628,Male,Group D,High School,1,0,45,75,78,56,254,B,Eligible,63.5,6155,,,
Std-3627,Male,Group E,Bachelor'S Degree,1,1,12,83,44,30,169,D,Not Eligible,42.25,9823,,,
Std-3626,Male,Group B,Some High School,1,0,51,83,95,50,279,B,Eligible,69.75,3892,,,
Std-3625,Male,Group D,Master'S Degree,1,1,84,82,46,33,245,C,Eligible,61.25,6889,,,
Std-3624,Male,Group B,Bachelor'S Degree,0,1,38,43,76,83,240,C,Eligible,60,7273,,,
Std-3623,Male,Group A,High School,1,1,71,60,51,37,219,C,Eligible,54.75,8530,,,
Std-3622,Male,Group D,Some College,0,0,47,84,90,42,263,B,Eligible,65.75,5373,,,
Std-3621,Male,Group B,Some College,1,1,43,36,95,66,240,C,Eligible,60,7273,,,
Std-3620,Male,Group D,High School,1,0,22,46,61,73,202,C,Eligible,50.5,9190,,,
Std-362,Male,Group C,High School,1,0,20,47,54,61,182,D,Not Eligible,45.5,9654,,,
Std-3619,Male,Group C,Some High School,1,0,61,46,61,48,216,C,Eligible,54,8679,,,
Std-3618,Male,Group E,Some College,1,0,26,70,68,77,241,C,Eligible,60.25,7197,,,
Std-3617,Male,Group B,Some College,1,1,24,99,82,100,305,B,Eligible,76.25,1658,,,
Std-3616,Male,Group C,High School,0,1,42,87,63,54,246,C,Eligible,61.5,6814,,,
Std-3615,Male,Group D,Some College,1,0,69,69,32,95,265,B,Eligible,66.25,5197,,,
Std-3614,Male,Group E,Some High School,0,1,45,77,79,90,291,B,Eligible,72.75,2781,,,
Std-3613,Male,Group D,Some High School,1,0,58,81,78,36,253,B,Eligible,63.25,6243,,,
Std-3612,Male,Group B,High School,0,0,16,71,76,68,231,C,Eligible,57.75,7883,,,
Std-3611,Male,Group D,Some High School,0,1,39,71,65,44,219,C,Eligible,54.75,8530,,,
Std-3610,Male,Group B,Some College,0,1,62,65,42,35,204,C,Eligible,51,9108,,,
Std-361,Male,Group C,Associate'S Degree,1,1,50,55,66,79,250,B,Eligible,62.5,6492,,,
Std-3609,Male,Group B,High School,1,0,83,83,56,59,281,B,Eligible,70.25,3684,,,
Std-3608,Male,Group E,Some College,1,0,27,74,67,27,195,D,Not Eligible,48.75,9363,,,
Std-3607,Male,Group E,Some College,1,1,95,51,73,66,285,B,Eligible,71.25,3320,,,
Std-3606,Male,Group B,High School,0,0,49,49,23,75,196,D,Not Eligible,49,9343,,,
Std-3605,Male,Group B,Associate'S Degree,0,0,65,23,84,82,254,B,Eligible,63.5,6155,,,
Std-3604,Male,Group E,Bachelor'S Degree,1,1,24,100,82,100,306,B,Eligible,76.5,1607,,,
Std-3603,Male,Group E,Some College,1,0,26,89,66,37,218,C,Eligible,54.5,8584,,,
Std-3602,Male,Group D,Some High School,0,0,60,87,79,74,300,B,Eligible,75,2035,,,
Std-3601,Male,Group D,Some College,1,1,69,80,66,73,288,B,Eligible,72,3038,,,
Std-3600,Male,Group D,Some College,1,1,50,89,84,73,296,B,Eligible,74,2337,,,
Std-360,Male,Group C,Some High School,1,0,50,100,76,62,288,B,Eligible,72,3038,,,
Std-36,Male,Group A,Some College,1,0,85,76,74,57,292,B,Eligible,73,2692,,,
Std-3599,Male,Group B,High School,1,1,31,36,61,50,178,D,Not Eligible,44.5,9729,,,
Std-3598,Male,Group A,Some College,0,0,48,45,55,65,213,C,Eligible,53.25,8813,,,
Std-3597,Male,Group D,Associate'S Degree,1,1,55,100,57,87,299,B,Eligible,74.75,2119,,,
Std-3596,Male,Group B,Master'S Degree,1,0,69,76,54,72,271,B,Eligible,67.75,4646,,,
Std-3595,Male,Group D,Associate'S Degree,1,0,27,64,50,68,209,C,Eligible,52.25,8948,,,
Std-3594,Male,Group C,Some High School,0,0,77,91,89,24,281,B,Eligible,70.25,3684,,,
